,Unnamed: 0,Name,Station,FirstCategory,SecondCategory,TotalRating,ReviewNum,Lat,Long,Category,DinnerPriceLow,DinnerPriceHigh,LunchPriceLow,LunchPriceHigh
98,99,nihonshusumiyakiyaiki  ,Fushimi Momoyama,Izakaya (Tavern),Kappo (Traditional Japanese),3.04,9,34.9319940369551,135.763480413649,Izakaya (Tavern) Kappo (Traditional Japanese),￥3000,￥3999,,
99,100,Taketori  ,Hanazono,Fowl,Yakitori (Grilled chicken),3.06,11,35.0200080927924,135.71865044509,Fowl Yakitori (Grilled chicken),￥4000,￥4999,,
100,101,Pierupureshiuzu  ,Karasuma Oike,French,Western Cuisine,3.06,14,35.0072606963549,135.762778950935,French Western Cuisine,￥5000,￥5999,￥1000,￥1999
101,102,Yamadaruma  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.03,10,35.0073406469914,135.760442474632,Izakaya (Tavern) Seafood,￥3000,￥3999, ,￥999
102,103,unagihitsumabushisumiyagura  ,Kawaramachi,Unagi (Freshwater eel),Kyoto Cuisine,3.21,7,35.0035820463351,135.769830756877,Unagi (Freshwater eel) Kyoto Cuisine,￥2000,￥2999,￥1000,￥1999
103,104,pittsuxeriaba-rurenapori  ,Karasuma,Italian,Pizza,3.37,37,35.0050542545871,135.762143271984,Italian Pizza,￥2000,￥2999, ,￥999
104,105,kyoutoufusousakuhirarinteikakurean  ,Kyoto,Izakaya (Tavern),Tofu,3.0,10,34.9894058915637,135.76003750068,Izakaya (Tavern) Tofu,￥3000,￥3999,￥1000,￥1999
105,106,Yakinikusebun  ,Tambaguchi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.3,11,34.9893643762064,135.736640279062,Yakiniku (BBQ Beef) Horumon (BBQ Offel),￥3000,￥3999,,
106,107,Kushiyakimanten  ,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),3.07,17,35.0043123705694,135.761059785014,Yakitori (Grilled chicken) Izakaya (Tavern),￥3000,￥3999,,
107,108,Yakinikuichiba  ,Chayama,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.04,3,35.0405925559109,135.787095952307,Yakiniku (BBQ Beef) Horumon (BBQ Offel),￥3000,￥3999,,
108,109,Pizzeria e Bar La Voce  ,Kawaramachi,Italian,Pizza,3.18,14,35.0024457106357,135.765917523079,Italian Pizza,￥3000,￥3999,￥1000,￥1999
109,110,Nyavetonamu  ,Kyoto,Viet Nam cuisine,Cafe,3.04,18,34.9887087338191,135.759459802978,Viet Nam cuisine Cafe,￥3000,￥3999,￥1000,￥1999
110,111,Taishuusakabatenuzumasatenjingawaten  ,Uzumasa Tenjingawa,Izakaya (Tavern),Yakitori (Grilled chicken),3.02,1,35.0113916436711,135.715086610472,Izakaya (Tavern) Yakitori (Grilled chicken),￥3000,￥3999,￥3000,￥3999
111,112,hoterukeihankyoutogurandeokujoubiaga-den  ,Kyoto,Beer garden,Beer,3.05,3,34.9835995832687,135.760902140649,Beer garden Beer,￥3000,￥3999,,
112,113,Gionramburu  ,Gion Shijo,Kyoto Cuisine,Creative cuisine,3.56,24,35.0031163586616,135.775318100373,Kyoto Cuisine Creative cuisine,￥5000,￥5999,￥3000,￥3999
113,114,Shisui  ,Sanjo,Izakaya (Tavern),Kyoto Cuisine,3.0,8,35.009195902394,135.770522107655,Izakaya (Tavern) Kyoto Cuisine,￥3000,￥3999,,
114,115,gyouzaba-anzukko  ,Kyoto Shiyakusho Mae,Dumplings,Chinese,3.08,25,35.0092211611541,135.769588017402,Dumplings Chinese,￥2000,￥2999,,
115,116,jukuseiyakinikupondo  ,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.28,26,35.0045498978592,135.748173899804,Yakiniku (BBQ Beef) Horumon (BBQ Offel),￥5000,￥5999,￥1000,￥1999
116,117,KORAN  ,Sai,Korean cuisine,Yakiniku (BBQ Beef),3.12,10,35.003480331926,135.734669237277,Korean cuisine Yakiniku (BBQ Beef),￥4000,￥4999,,
117,118,Kyoutonijoutosaka  ,Marutamachi,Kappo (Traditional Japanese),Japanese food (other),3.53,13,35.0135900066418,135.762050386696,Kappo (Traditional Japanese) Japanese food (other),￥8000,￥9999,￥2000,￥2999
118,119,YAMAMURA GYUUBEI  ,Omiya,Izakaya (Tavern),Italian,3.06,17,35.0050615247931,135.749032138305,Izakaya (Tavern) Italian,￥3000,￥3999,￥1000,￥1999
119,120,Poquito  ,Kyoto Shiyakusho Mae,Spain,Dining bar,3.51,83,35.0103402053316,135.76942797917,Spain Dining bar,￥5000,￥5999,,
120,121,Machiyashisenhoshitsukiyo  ,Omiya,Sichuan Cuisine,Shanghai Cuisine,3.53,14,35.0014650442168,135.753565538506,Sichuan Cuisine Shanghai Cuisine,￥8000,￥9999,￥3000,￥3999
121,122,Ameirobisutoroaruru  ,Nishi Maizuru,Italian,Cafe,3.05,8,35.4531345954263,135.329018056996,Italian Cafe,￥3000,￥3999,￥1000,￥1999
122,123,LODGE  ,Kyoto Shiyakusho Mae,Steak,Izakaya (Tavern),3.06,4,35.0097955295841,135.768753338055,Steak Izakaya (Tavern),￥4000,￥4999,￥1000,￥1999
123,124,Yosuke YAMAJI  ,Gion Shijo,French,Modern French,4.02,44,35.0027080751407,135.775669756633,French Modern French,￥20000,￥29999,￥8000,￥9999
124,125,Feliz-Lana  ,Karasuma,Italian,Bar,3.2,23,35.0023384434237,135.762685018699,Italian Bar,￥3000,￥3999,￥1000,￥1999
125,126,Wakanoshizuku  ,Sanjo,Izakaya (Tavern),Chanko Nabe (Sumo Wrestlers Hot Pot),3.02,4,35.0090970189682,135.770229358743,Izakaya (Tavern) Chanko Nabe (Sumo Wrestlers Hot Pot),￥3000,￥3999,,
126,127,fujiyakyoushoku  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Japanese food (other),3.04,8,35.0135175544319,135.764342699656,Izakaya (Tavern) Japanese food (other),￥5000,￥5999,￥4000,￥4999
127,128,Teramachiyoshikura  ,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.16,33,35.0287626378569,135.767667880596,Kaiseki (Traditional Japanese) Kyoto Cuisine,￥5000,￥5999,￥1000,￥1999
128,129,sakanaryouritosakeshinsengumi  ,Fushimi,Izakaya (Tavern),Seafood,3.28,38,34.9402814766159,135.747163053901,Izakaya (Tavern) Seafood,￥6000,￥7999,￥2000,￥2999
129,130,bisutorowaraku  ,Karasuma,Bistro,Bar,3.2,37,35.0044229668434,135.764068141189,Bistro Bar,￥4000,￥4999,￥1000,￥1999
130,131,Uroko  ,Kawaramachi,Izakaya (Tavern),Japanese food (other),3.07,18,35.0044541828409,135.770264014074,Izakaya (Tavern) Japanese food (other),￥3000,￥3999,,
131,132,Ipponyari  ,Fujinomori,Fugu (Blowfish),Kappo (Traditional Japanese),3.08,5,34.9574921438766,135.763530902143,Fugu (Blowfish) Kappo (Traditional Japanese),￥8000,￥9999,,
132,133,Higashinotouinsou  ,Karasuma Oike,Kappo (Traditional Japanese),Japanese food (other),3.15,6,35.0074942517641,135.761020197357,Kappo (Traditional Japanese) Japanese food (other),￥4000,￥4999,￥1000,￥1999
